Name        Count   Minium      Maxium      Average  
A_1-            7    1.946041   16.766661    9.242160
A_1+            5    0.201847   17.598558    6.000239
A_2-            3    2.293080   33.088741   12.594633
A_2+            2    1.216501    2.867268    2.041885
A_20            1    2.321165    2.321165    2.321165
B*-             1   40.191475   40.191475   40.191475
B*+             2   16.912785   35.607761   26.260273
B_1+            3    7.627896   18.641922   13.586592
B_10            3    1.572389   20.943827    8.316949
B*BAR0          2   27.875900   33.392468   30.634184
B_DBAR0         2   27.694250   34.788364   31.241307
D-              3   18.710629   31.189182   23.146238
D*-             3    7.749538   33.191837   20.592992
D*+             1    7.826561    7.826561    7.826561
D+              1   15.409226   15.409226   15.409226
D0              2    7.353512   20.693863   14.023688
DBAR0           3    7.213315   34.788364   23.231976
DELTA-          3    1.415513   19.237141    8.599149
DELTA+          3    1.991102    6.699323    3.902999
DELTA++         2    1.991102    6.699323    4.345212
DELTA0          3    5.613196   20.621212   11.191390
DELTABR-        2    5.799401   18.231897   12.015649
DELTABR+        2    4.976677    7.386334    6.181506
DELTABR0        1    2.341713    2.341713    2.341713
DH_1-           1    9.345643    9.345643    9.345643
DH_S1-          1   24.568008   24.568008   24.568008
DL_S1-          1   25.072792   25.072792   25.072792
DLTABR--        4    0.440305    7.356865    3.042245
E-              2    0.068699    0.870066    0.469383
E+              3    0.497714    2.318738    1.134813
ETA             6    0.450267    8.084970    2.597280
F_2             1   31.871416   31.871416   31.871416
GAMMA         287    0.001432   10.590357    1.105681
HL_10           1    6.778451    6.778451    6.778451
K-             19    0.248015   16.959869    4.225271
K*-             4    1.119591   11.468502    4.842333
K*+             3    1.470667    4.212332    2.497991
K+             16    0.765374   21.707800    5.841047
K0             13    0.312242   20.017979    5.024880
K*0             1    0.406401    0.406401    0.406401
K*_0BAR0        2    1.847214    6.368102    4.107658
K*_2+           1    2.382600    2.382600    2.382600
K*_20           1    8.259280    8.259280    8.259280
KBAR0          11    1.002857    9.676666    3.896028
K*BAR0          6    1.466215   11.014888    5.095241
KD_3-           1    3.322769    3.322769    3.322769
KD_30           1    1.695770    1.695770    1.695770
KDL_2+          1    3.276174    3.276174    3.276174
KH_1BAR0        1    4.258712    4.258712    4.258712
K_L0           15    0.777969   20.017979    3.790665
KL_1-           1    6.927484    6.927484    6.927484
K_S0           11    0.312242   16.140265    5.062150
LAMBDA          6    2.072906   17.882027    6.818562
LAMBDABR        2    2.072906    7.151476    4.612191
LMBDA_C+        1   29.380371   29.380371   29.380371
MU-             2    4.216293   11.892896    8.054594
MU+             2    3.067208    6.725376    4.896292
N              24    0.639142   20.900103    6.864774
NBAR            8    0.639142   19.426508    5.963271
NU_E            1    3.514002    3.514002    3.514002
NU_MU           3    4.766882   15.212743    9.487628
NU_MUBAR        1   15.212743   15.212743   15.212743
NU_TAU          1    1.862430    1.862430    1.862430
OMEGA          18    0.752740   17.536438    4.224035
OMEGA_3         1    6.742593    6.742593    6.742593
P             394    0.085572   36.829838    2.552693
PBAR           10    0.378610   12.761330    4.353026
PHI             2    6.023574    6.110828    6.067201
PI-           114    0.088954   22.284681    2.340767
PI+           121    0.085572   29.004929    2.612070
PI0           140    0.116810   12.157909    2.159436
PI_2+           1   36.829838   36.829838   36.829838
RHO-           17    0.716532   13.789380    3.968287
RHO+           13    0.513929   16.244141    4.222495
RHO0           19    0.323995   19.279625    5.024160
RHO_30          1   35.774281   35.774281   35.774281
SGMA            1    9.334332    9.334332    9.334332
SIGMA0          2    1.078210    2.785722    1.931966
SIGMA*0         2    1.130202    5.605445    3.367824
SIGMABR+        2    0.983482    9.215176    5.099329
SIGMA_C+        1   32.727749   32.727749   32.727749
TAU-            1    9.364506    9.364506    9.364506
XI0             1    9.092914    9.092914    9.092914
XI*0            1    9.547680    9.547680    9.547680
XIBAR0          1    2.787153    2.787153    2.787153
